site_name,step,step_order,n_remaining,n_excluded_at_step
Michigan,Hospitalizations in date window,1,43756,0
Michigan,>= 18 years,2,43756,0
Michigan,Demographics present,3,43013,743
Michigan,Geography present,4,41944,1069
Michigan,Lung cancer dx POA present,5,6442,35502
Michigan,Any ICU segment present,6,6437,5
