county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
27163,4,251,1427,0.17589348283111422,3128,0.08024296675191815,251,0.17589348283111422,0.08024296675191815,umn
27163,5,203,1427,0.14225648213034336,1490,0.13624161073825503,203,0.14225648213034336,0.13624161073825503,umn
27165,1,2,3,0.6666666666666666,4199,4.763038818766373e-4,NA,NA,NA,umn
27165,3,1,3,0.3333333333333333,3180,3.1446540880503143e-4,NA,NA,NA,umn
27169,1,1,5,0.2,4199,2.3815194093831864e-4,NA,NA,NA,umn
27169,2,3,5,0.6,1351,0.0022205773501110288,NA,NA,NA,umn
27169,3,1,5,0.2,3180,3.1446540880503143e-4,NA,NA,NA,umn
27171,1,8,67,0.11940298507462686,4199,0.0019052155275065491,NA,NA,NA,umn
27171,2,11,67,0.16417910447761194,1351,0.008142116950407105,11,0.16417910447761194,0.008142116950407105,umn
27171,3,13,67,0.19402985074626866,3180,0.004088050314465409,13,0.19402985074626866,0.004088050314465409,umn
27171,4,23,67,0.34328358208955223,3128,0.007352941176470588,23,0.34328358208955223,0.007352941176470588,umn
27171,5,12,67,0.1791044776119403,1490,0.008053691275167786,12,0.1791044776119403,0.008053691275167786,umn
27173,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
27173,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
28021,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
29105,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
29167,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
30111,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
31055,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
31107,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
31109,3,2,2,1,3180,6.289308176100629e-4,NA,NA,NA,umn
32003,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
32031,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
32031,5,1,2,0.5,1490,6.711409395973154e-4,NA,NA,NA,umn
33011,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
34023,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
35005,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
36103,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
37069,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
37119,1,2,2,1,4199,4.763038818766373e-4,NA,NA,NA,umn
38003,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
