site_name,device_t0,traj_cluster_ra,n,device_total
U_Michigan,FACE MASK,1,<10,34
U_Michigan,FACE MASK,2,16,34
U_Michigan,FACE MASK,3,<10,34
U_Michigan,FACE MASK,4,<10,34
U_Michigan,HIGH FLOW NC,1,<10,
U_Michigan,HIGH FLOW NC,2,26,
U_Michigan,HIGH FLOW NC,3,39,
U_Michigan,HIGH FLOW NC,4,13,
U_Michigan,IMV,1,11,
U_Michigan,IMV,2,11,
U_Michigan,IMV,3,<10,
U_Michigan,IMV,4,46,
U_Michigan,NASAL CANNULA,1,57,
U_Michigan,NASAL CANNULA,2,88,
U_Michigan,NASAL CANNULA,3,12,
U_Michigan,NASAL CANNULA,4,<10,
U_Michigan,NIPPV,1,<10,24
U_Michigan,NIPPV,2,11,24
U_Michigan,NIPPV,3,<10,24
U_Michigan,NIPPV,4,<10,24
U_Michigan,ROOM AIR,1,82,
U_Michigan,ROOM AIR,2,12,
U_Michigan,ROOM AIR,4,<10,
U_Michigan,TRACH COLLAR,1,<10,7
U_Michigan,TRACH COLLAR,2,<10,7
U_Michigan,UNK,1,<10,48
U_Michigan,UNK,2,14,48
U_Michigan,UNK,3,<10,48
U_Michigan,UNK,4,27,48
U_Michigan,Unknown / missing,1,<10,11
U_Michigan,Unknown / missing,2,<10,11
U_Michigan,Unknown / missing,4,<10,11
