pm25_5y_z,no2_5y_z,traj_cluster_ra,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_icu_los_hours
-2,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,81.27446797328386
-1.9,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,81.01714032577186
-1.8,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,80.76062741774365
-1.7,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,80.50492666960803
-1.6,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,80.25003550994118
-1.5,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,79.99595137545744
-1.4,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,79.74267171099025
-1.2999999999999998,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,79.49019396946203
-1.2,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,79.23851561186075
-1.1,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,78.98763410720991
-1,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,78.73754693254986
-0.8999999999999999,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,78.48825157290902
-0.7999999999999998,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,78.23974552127524
-0.7,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,77.99202627857734
-0.5999999999999999,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,77.74509135365545
-0.5,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,77.4989382632382
-0.3999999999999999,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,77.25356453191337
-0.2999999999999998,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,77.00896769210955
-0.19999999999999996,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,76.76514528406696
-0.09999999999999987,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,76.5220948558149
0,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,76.2798139631427
0.10000000000000009,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,76.03830016958176
0.20000000000000018,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,75.79755104637763
0.30000000000000027,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,75.55756417246253
0.40000000000000036,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,75.31833713443733
0.5,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,75.07986752654303
0.6000000000000001,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,74.84215295063872
0.7000000000000002,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,74.60519101617318
0.8000000000000003,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,74.36897934016724
0.9000000000000004,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,74.13351554718554
1,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,73.89879726931478
1.1,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,73.6648221461357
1.2000000000000002,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,73.43158782470563
1.3000000000000003,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,73.19909195953167
1.4000000000000004,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,72.96733221254402
1.5,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,72.73630625307867
1.6,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,72.50601175784982
1.7000000000000002,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,72.2764464109286
1.8000000000000003,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,72.04760790371564
1.9000000000000004,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,71.81949393492403
2,0,1,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,71.59210221055308
