site_name,device_t0,n,prop
U_Michigan,FACE MASK,34,
U_Michigan,HIGH FLOW NC,83,
U_Michigan,IMV,70,
U_Michigan,NASAL CANNULA,166,
U_Michigan,NIPPV,24,
U_Michigan,ROOM AIR,97,
U_Michigan,TRACH COLLAR,<10,
U_Michigan,UNK,48,
U_Michigan,Unknown / missing,12,
