traj_cluster_ra,h,rs,n
1,57,IMV,<10
1,58,IMV,<10
1,59,IMV,<10
1,60,IMV,<10
1,64,NIV,<10
1,65,NIV,<10
1,66,NIV,<10
1,67,NIV,<10
1,68,NIV,<10
1,69,NIV,<10
2,34,NIV,<10
2,35,IMV,<10
2,36,IMV,<10
2,37,IMV,<10
2,37,NIV,<10
2,38,IMV,<10
2,40,IMV,<10
2,41,IMV,<10
2,42,IMV,<10
2,43,IMV,<10
2,43,NIV,<10
2,44,IMV,<10
2,45,IMV,<10
2,46,IMV,<10
2,58,IMV,<10
2,59,IMV,<10
2,61,IMV,<10
2,62,IMV,<10
2,70,IMV,<10
2,71,IMV,<10
2,72,IMV,<10
3,5,IMV,<10
3,33,IMV,<10
3,41,IMV,<10
3,42,IMV,<10
3,43,IMV,<10
3,44,IMV,<10
3,44,ROOM AIR,<10
3,45,IMV,<10
3,45,ROOM AIR,<10
3,46,IMV,<10
3,46,ROOM AIR,<10
3,47,IMV,<10
3,48,IMV,<10
3,48,ROOM AIR,<10
3,49,IMV,<10
3,49,ROOM AIR,<10
3,50,IMV,<10
3,50,ROOM AIR,<10
3,51,IMV,<10
3,51,ROOM AIR,<10
3,52,IMV,<10
3,53,IMV,<10
3,53,ROOM AIR,<10
3,54,IMV,<10
3,54,ROOM AIR,<10
3,55,IMV,<10
3,55,ROOM AIR,<10
3,56,IMV,<10
3,56,ROOM AIR,<10
3,57,IMV,<10
3,57,ROOM AIR,<10
3,58,ROOM AIR,<10
3,59,ROOM AIR,<10
3,60,ROOM AIR,<10
3,61,ROOM AIR,<10
3,62,ROOM AIR,<10
3,63,ROOM AIR,<10
3,64,ROOM AIR,<10
3,65,ROOM AIR,<10
3,66,ROOM AIR,<10
3,67,ROOM AIR,<10
3,68,ROOM AIR,<10
3,69,ROOM AIR,<10
3,70,ROOM AIR,<10
3,71,ROOM AIR,<10
3,72,ROOM AIR,<10
4,5,LOW_O2,<10
4,6,LOW_O2,<10
4,17,LOW_O2,<10
4,18,NIV,<10
4,18,ROOM AIR,<10
4,19,LOW_O2,<10
4,19,NIV,<10
4,20,LOW_O2,<10
4,20,NIV,<10
4,21,LOW_O2,<10
4,21,NIV,<10
4,21,ROOM AIR,<10
4,22,NIV,<10
4,22,ROOM AIR,<10
4,23,ROOM AIR,<10
4,24,ROOM AIR,<10
4,27,NIV,<10
4,28,NIV,<10
4,29,LOW_O2,<10
4,30,LOW_O2,<10
4,31,LOW_O2,<10
4,40,LOW_O2,<10
4,47,LOW_O2,<10
4,48,LOW_O2,<10
4,48,ROOM AIR,<10
4,57,ROOM AIR,<10
4,59,ROOM AIR,<10
4,60,ROOM AIR,<10
4,61,ROOM AIR,<10
1,13,NIV,<10
1,14,NIV,<10
1,27,IMV,<10
1,28,IMV,<10
1,31,NIV,<10
1,32,NIV,<10
1,33,NIV,<10
1,34,NIV,<10
1,63,NIV,<10
2,14,ROOM AIR,<10
2,27,ROOM AIR,<10
2,28,ROOM AIR,<10
2,31,ROOM AIR,<10
2,32,IMV,<10
2,33,IMV,<10
2,33,NIV,<10
2,34,IMV,<10
2,35,ROOM AIR,<10
2,36,NIV,<10
2,41,NIV,<10
2,44,NIV,<10
3,0,IMV,<10
3,1,IMV,<10
3,2,IMV,<10
3,3,IMV,<10
3,4,IMV,<10
3,47,ROOM AIR,<10
3,52,ROOM AIR,<10
3,58,IMV,<10
3,59,IMV,<10
3,60,IMV,<10
3,61,IMV,<10
3,62,IMV,<10
3,63,IMV,<10
3,64,IMV,<10
3,65,IMV,<10
3,66,IMV,<10
3,67,IMV,<10
3,68,IMV,<10
3,69,IMV,<10
3,70,IMV,<10
3,71,IMV,<10
3,72,IMV,<10
4,3,LOW_O2,<10
4,4,ROOM AIR,<10
4,5,ROOM AIR,<10
4,6,ROOM AIR,<10
4,9,ROOM AIR,<10
4,10,ROOM AIR,<10
4,11,ROOM AIR,<10
4,12,ROOM AIR,<10
4,13,ROOM AIR,<10
4,14,ROOM AIR,<10
4,15,ROOM AIR,<10
4,16,ROOM AIR,<10
4,17,NIV,<10
4,17,ROOM AIR,<10
4,18,LOW_O2,<10
4,19,ROOM AIR,<10
4,20,ROOM AIR,<10
4,22,LOW_O2,<10
4,26,NIV,<10
4,29,NIV,<10
4,30,NIV,<10
4,31,NIV,<10
4,33,NIV,<10
4,41,LOW_O2,<10
4,42,LOW_O2,<10
4,43,LOW_O2,<10
4,58,ROOM AIR,<10
4,62,ROOM AIR,<10
1,12,NIV,<10
1,15,NIV,<10
1,23,IMV,<10
1,24,IMV,<10
1,25,IMV,<10
1,26,IMV,<10
1,29,NIV,<10
1,30,NIV,<10
1,35,NIV,<10
2,17,ROOM AIR,<10
2,21,ROOM AIR,<10
2,28,IMV,<10
2,29,IMV,<10
2,29,ROOM AIR,<10
2,30,IMV,<10
2,31,IMV,<10
2,31,NIV,<10
2,32,NIV,<10
2,35,NIV,<10
2,48,NIV,<10
3,5,LOW_O2,<10
4,0,ROOM AIR,<10
4,1,LOW_O2,<10
4,1,ROOM AIR,<10
4,2,LOW_O2,<10
4,2,ROOM AIR,<10
4,3,ROOM AIR,<10
4,7,ROOM AIR,<10
4,8,ROOM AIR,<10
4,15,NIV,<10
4,16,NIV,<10
4,23,NIV,<10
4,24,NIV,<10
4,25,NIV,<10
4,32,NIV,<10
4,34,NIV,<10
4,35,NIV,<10
4,41,NIV,<10
4,44,LOW_O2,<10
4,45,LOW_O2,<10
4,46,LOW_O2,<10
4,63,ROOM AIR,<10
4,64,ROOM AIR,<10
4,65,ROOM AIR,<10
4,66,ROOM AIR,<10
4,67,ROOM AIR,<10
4,68,ROOM AIR,<10
4,69,ROOM AIR,<10
4,71,ROOM AIR,<10
4,72,ROOM AIR,<10
1,11,NIV,<10
1,16,IMV,<10
1,16,NIV,<10
1,17,NIV,<10
1,18,IMV,<10
1,18,NIV,<10
1,19,IMV,<10
1,19,NIV,<10
1,20,IMV,<10
1,20,NIV,<10
1,21,IMV,<10
1,21,NIV,<10
1,22,IMV,<10
1,22,NIV,<10
1,23,NIV,<10
1,24,NIV,<10
1,25,NIV,<10
1,26,NIV,<10
1,27,NIV,<10
1,28,NIV,<10
2,16,ROOM AIR,<10
2,18,ROOM AIR,<10
2,22,ROOM AIR,<10
2,26,ROOM AIR,<10
2,30,NIV,<10
2,30,ROOM AIR,<10
2,36,ROOM AIR,<10
2,46,NIV,<10
2,47,NIV,<10
3,3,LOW_O2,<10
3,4,LOW_O2,<10
3,30,LOW_O2,<10
3,32,LOW_O2,<10
4,9,NIV,<10
4,10,NIV,<10
4,11,NIV,<10
4,12,NIV,<10
4,13,NIV,<10
4,14,NIV,<10
4,36,NIV,<10
4,37,NIV,<10
4,38,NIV,<10
4,39,NIV,<10
4,40,NIV,<10
4,42,NIV,<10
4,43,NIV,<10
4,44,NIV,<10
4,49,LOW_O2,<10
4,50,LOW_O2,<10
4,51,LOW_O2,<10
1,17,IMV,<10
2,8,ROOM AIR,<10
2,11,ROOM AIR,<10
2,12,ROOM AIR,<10
2,13,ROOM AIR,<10
2,15,ROOM AIR,<10
2,20,ROOM AIR,<10
2,26,IMV,<10
2,27,IMV,<10
2,37,ROOM AIR,<10
2,38,ROOM AIR,<10
3,11,LOW_O2,<10
3,14,LOW_O2,<10
3,16,LOW_O2,<10
3,31,LOW_O2,<10
3,37,LOW_O2,<10
4,8,NIV,<10
4,45,NIV,<10
4,46,NIV,<10
4,52,LOW_O2,<10
4,52,NIV,<10
4,53,LOW_O2,<10
4,53,NIV,<10
4,54,LOW_O2,<10
4,54,NIV,<10
4,55,LOW_O2,<10
4,57,LOW_O2,<10
4,58,LOW_O2,<10
4,70,ROOM AIR,<10
1,4,NIV,<10
1,5,NIV,<10
1,6,NIV,<10
1,7,NIV,<10
1,9,NIV,<10
1,10,NIV,<10
1,15,IMV,<10
2,5,ROOM AIR,<10
2,7,ROOM AIR,<10
2,9,ROOM AIR,<10
2,10,ROOM AIR,<10
2,19,ROOM AIR,<10
2,23,IMV,<10
2,23,ROOM AIR,<10
2,24,IMV,<10
2,24,ROOM AIR,<10
2,25,IMV,<10
2,25,ROOM AIR,<10
2,49,NIV,<10
2,58,NIV,<10
2,60,NIV,<10
2,61,NIV,<10
2,67,NIV,<10
2,68,NIV,<10
2,69,NIV,<10
2,70,NIV,<10
2,71,NIV,<10
2,72,NIV,<10
3,0,LOW_O2,<10
3,6,LOW_O2,<10
3,7,LOW_O2,<10
3,12,LOW_O2,<10
3,13,LOW_O2,<10
3,15,LOW_O2,<10
3,20,LOW_O2,<10
3,21,LOW_O2,<10
3,26,LOW_O2,<10
3,35,LOW_O2,<10
3,36,LOW_O2,<10
3,38,LOW_O2,<10
3,39,LOW_O2,<10
4,47,NIV,<10
4,48,NIV,<10
4,49,NIV,<10
4,50,NIV,<10
4,51,NIV,<10
4,55,NIV,<10
4,56,LOW_O2,<10
1,3,NIV,<10
1,8,NIV,<10
1,14,IMV,<10
1,69,LOW_O2,<10
2,6,ROOM AIR,<10
2,21,IMV,<10
2,22,IMV,<10
2,59,NIV,<10
3,1,LOW_O2,<10
3,2,LOW_O2,<10
3,9,LOW_O2,<10
3,17,LOW_O2,<10
3,23,LOW_O2,<10
3,25,LOW_O2,<10
3,28,LOW_O2,<10
3,33,LOW_O2,<10
4,0,LOW_O2,<10
4,56,NIV,<10
4,59,LOW_O2,<10
4,60,LOW_O2,<10
