traj_cluster_ra,h,arf,n
3,26,ARF_MIXED,<10
3,27,ARF_HYPOX,<10
3,27,ARF_MIXED,<10
3,28,ARF_HYPOX,<10
3,28,ARF_MIXED,<10
3,29,ARF_HYPOX,<10
3,29,ARF_MIXED,<10
3,37,ARF_HYPOX,<10
3,38,ARF_HYPER,<10
3,41,ARF_HYPOX,<10
3,42,ARF_HYPOX,<10
3,42,ARF_MIXED,<10
3,43,ARF_HYPER,<10
3,43,ARF_HYPOX,<10
3,43,ARF_MIXED,<10
3,44,ARF_HYPER,<10
3,44,ARF_MIXED,<10
3,45,ARF_HYPER,<10
3,45,ARF_MIXED,<10
3,46,ARF_HYPER,<10
3,46,ARF_MIXED,<10
3,47,ARF_HYPER,<10
3,47,ARF_MIXED,<10
3,48,ARF_HYPER,<10
3,48,ARF_MIXED,<10
3,49,ARF_HYPER,<10
3,49,ARF_HYPOX,<10
3,50,ARF_HYPER,<10
3,50,ARF_HYPOX,<10
3,51,ARF_HYPER,<10
3,57,ARF_HYPOX,<10
3,58,ARF_HYPER,<10
3,58,ARF_HYPOX,<10
3,59,ARF_HYPER,<10
3,60,ARF_HYPER,<10
3,60,ARF_MIXED,<10
3,61,ARF_MIXED,<10
3,62,ARF_MIXED,<10
3,63,ARF_MIXED,<10
3,64,ARF_HYPER,<10
3,64,ARF_MIXED,<10
3,65,ARF_HYPER,<10
3,65,ARF_MIXED,<10
3,66,ARF_MIXED,<10
3,71,ARF_MIXED,<10
3,72,ARF_MIXED,<10
4,14,ARF_HYPER,<10
4,15,ARF_HYPER,<10
4,16,ARF_HYPER,<10
4,17,ARF_HYPER,<10
4,18,ARF_HYPER,<10
4,27,ARF_HYPER,<10
4,28,ARF_HYPER,<10
4,29,ARF_HYPER,<10
4,30,ARF_HYPER,<10
4,31,ARF_HYPER,<10
4,32,ARF_HYPER,<10
4,47,ARF_HYPER,<10
4,48,ARF_HYPER,<10
4,49,ARF_HYPER,<10
4,52,ARF_HYPER,<10
4,53,ARF_HYPER,<10
4,54,ARF_HYPER,<10
2,0,ARF_MIXED,<10
2,12,ARF_MIXED,<10
2,15,ARF_MIXED,<10
2,35,ARF_HYPER,<10
2,35,ARF_HYPOX,<10
2,36,ARF_HYPER,<10
2,36,ARF_HYPOX,<10
2,37,ARF_HYPOX,<10
2,38,ARF_HYPOX,<10
2,48,ARF_HYPER,<10
2,49,ARF_HYPER,<10
2,50,ARF_HYPER,<10
2,51,ARF_HYPER,<10
2,51,ARF_HYPOX,<10
2,52,ARF_HYPER,<10
2,52,ARF_HYPOX,<10
2,53,ARF_HYPER,<10
2,53,ARF_HYPOX,<10
2,54,ARF_HYPER,<10
2,54,ARF_HYPOX,<10
2,55,ARF_HYPOX,<10
2,56,ARF_HYPER,<10
2,56,ARF_HYPOX,<10
2,57,ARF_HYPER,<10
2,57,ARF_HYPOX,<10
2,58,ARF_HYPER,<10
2,58,ARF_HYPOX,<10
2,59,ARF_HYPER,<10
2,60,ARF_HYPER,<10
2,61,ARF_HYPER,<10
2,61,ARF_HYPOX,<10
2,62,ARF_HYPER,<10
2,62,ARF_HYPOX,<10
2,63,ARF_HYPOX,<10
2,71,ARF_HYPER,<10
2,72,ARF_HYPER,<10
3,1,ARF_HYPOX,<10
3,1,ARF_MIXED,<10
3,2,ARF_HYPOX,<10
3,3,ARF_HYPOX,<10
3,7,ARF_HYPOX,<10
3,8,ARF_HYPOX,<10
3,9,ARF_MIXED,<10
3,10,ARF_MIXED,<10
3,13,ARF_HYPOX,<10
3,13,ARF_MIXED,<10
3,14,ARF_HYPER,<10
3,14,ARF_HYPOX,<10
3,14,ARF_MIXED,<10
3,15,ARF_HYPER,<10
3,15,ARF_HYPOX,<10
3,15,ARF_MIXED,<10
3,16,ARF_HYPER,<10
3,16,ARF_HYPOX,<10
3,16,ARF_MIXED,<10
3,17,ARF_HYPER,<10
3,18,ARF_HYPER,<10
3,19,ARF_HYPER,<10
3,26,ARF_HYPER,<10
3,27,ARF_HYPER,<10
3,28,ARF_HYPER,<10
3,29,ARF_HYPER,<10
3,30,ARF_HYPER,<10
3,30,ARF_HYPOX,<10
3,31,ARF_HYPER,<10
3,32,ARF_HYPER,<10
3,32,ARF_HYPOX,<10
3,33,ARF_HYPER,<10
3,33,ARF_HYPOX,<10
3,34,ARF_HYPER,<10
3,34,ARF_HYPOX,<10
3,35,ARF_HYPER,<10
3,35,ARF_HYPOX,<10
3,36,ARF_HYPER,<10
3,36,ARF_HYPOX,<10
3,37,ARF_HYPER,<10
3,39,ARF_HYPER,<10
3,40,ARF_HYPER,<10
3,41,ARF_HYPER,<10
3,42,ARF_HYPER,<10
3,44,ARF_HYPOX,<10
3,45,ARF_HYPOX,<10
3,46,ARF_HYPOX,<10
3,47,ARF_HYPOX,<10
3,48,ARF_HYPOX,<10
3,49,ARF_MIXED,<10
3,50,ARF_MIXED,<10
3,52,ARF_HYPER,<10
3,52,ARF_MIXED,<10
3,53,ARF_HYPER,<10
3,53,ARF_MIXED,<10
3,54,ARF_HYPER,<10
3,54,ARF_MIXED,<10
3,55,ARF_HYPER,<10
3,55,ARF_MIXED,<10
3,56,ARF_HYPER,<10
3,56,ARF_MIXED,<10
3,57,ARF_HYPER,<10
3,57,ARF_MIXED,<10
3,58,ARF_MIXED,<10
3,59,ARF_MIXED,<10
3,67,ARF_MIXED,<10
3,68,ARF_MIXED,<10
3,69,ARF_MIXED,<10
3,70,ARF_MIXED,<10
4,13,ARF_HYPER,<10
2,8,ARF_MIXED,<10
2,9,ARF_MIXED,<10
2,10,ARF_MIXED,<10
2,11,ARF_MIXED,<10
2,27,ARF_HYPOX,<10
2,28,ARF_HYPOX,<10
2,29,ARF_HYPOX,<10
2,30,ARF_HYPOX,<10
2,31,ARF_HYPOX,<10
2,34,ARF_HYPER,<10
2,59,ARF_HYPOX,<10
2,60,ARF_HYPOX,<10
3,0,ARF_HYPOX,<10
3,2,ARF_MIXED,<10
3,3,ARF_MIXED,<10
3,4,ARF_HYPOX,<10
3,5,ARF_HYPOX,<10
3,6,ARF_HYPOX,<10
3,7,ARF_MIXED,<10
3,11,ARF_HYPOX,<10
3,12,ARF_HYPOX,<10
3,17,ARF_HYPOX,<10
3,18,ARF_HYPOX,<10
3,19,ARF_HYPOX,<10
3,21,ARF_HYPER,<10
3,22,ARF_HYPER,<10
3,23,ARF_HYPER,<10
3,24,ARF_HYPER,<10
3,25,ARF_HYPER,<10
3,31,ARF_HYPOX,<10
3,51,ARF_MIXED,<10
3,59,ARF_HYPOX,<10
3,64,ARF_HYPOX,<10
3,65,ARF_HYPOX,<10
3,66,ARF_HYPOX,<10
3,67,ARF_HYPOX,<10
3,68,ARF_HYPOX,<10
3,69,ARF_HYPOX,<10
3,70,ARF_HYPOX,<10
3,71,ARF_HYPOX,<10
3,72,ARF_HYPOX,<10
4,8,ARF_HYPER,<10
4,9,ARF_HYPER,<10
4,10,ARF_HYPER,<10
4,11,ARF_HYPER,<10
4,12,ARF_HYPER,<10
4,71,ARF_MIXED,<10
4,72,ARF_MIXED,<10
2,0,ARF_HYPOX,<10
2,1,ARF_MIXED,<10
2,19,ARF_HYPER,<10
2,20,ARF_HYPER,<10
2,22,ARF_HYPER,<10
2,23,ARF_HYPOX,<10
2,24,ARF_HYPOX,<10
2,25,ARF_HYPOX,<10
