pm25_5y_z,no2_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,predicted_expected_rank
-2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.390382867634876
-1.9,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.392242886155054
-1.8,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.39410335083532
-1.7,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.395964257382239
-1.6,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.397825601495144
-1.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.3996873788661848
-1.4,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4015495851802964
-1.2999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.40341221611524
-1.2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.405275267341596
-1.1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4071387345227646
-1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4090026133150007
-0.8999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4108668993673894
-0.7999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.412731588321892
-0.7,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4145966758133195
-0.5999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.416462157469378
-0.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4183280289106444
-0.3999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4201942857506102
-0.2999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4220609235956605
-0.19999999999999996,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4239279380451175
-0.09999999999999987,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4257953246912183
0,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.42766307911916
0.10000000000000009,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.429531196907079
0.20000000000000018,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.431399673626091
0.30000000000000027,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4332685048402936
0.40000000000000036,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4351376861067617
0.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4370072129755957
0.6000000000000001,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4388770809898963
0.7000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4407472856858146
0.8000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4426178225925312
0.9000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4444886872323037
1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.446359875120449
1.1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.44823138176539
1.2000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.450103202668635
1.3000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.451975333324833
1.4000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4538477692217486
1.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4557205058403153
1.6,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.457593538654617
1.7000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.459466863131934
1.8000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4613404747327463
1.9000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.463214368910739
2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,2.4650885411128476
