model,outcome_level,term,estimate,std_error,statistic,p_value,effect,conf_low,conf_high,effect_type
multinom_traj_cluster,2,(Intercept),-119.2172070392403,2.457544025427853e-4,-485107.10614221793,0,1.677354410366859e-52,1.6765466591480166e-52,1.6781625507559214e-52,RRR
multinom_traj_cluster,2,pm25_5y_z,-0.09487855088754282,0.1328927284944428,-0.7139484000549389,0.4752590872285055,0.9094833837108607,0.7009292679095723,1.1800905784873994,RRR
multinom_traj_cluster,2,no2_5y_z,-0.0020281693895773706,0.13669614591306575,-0.01483706344484079,0.9881621704782128,0.9979738859561944,0.7634156676417517,1.3045997341488647,RRR
multinom_traj_cluster,2,age_years,0.030199444316648616,0.011586259240391118,2.606487882764582,0.009147606052287543,1.0306600727499697,1.007518499246867,1.054333182323725,RRR
multinom_traj_cluster,2,sex_categoryMale,0.18610805172435607,0.21131926695092496,0.8806960880078023,0.3784823347299982,1.20455240731089,0.7960623942293336,1.8226542447883354,RRR
multinom_traj_cluster,2,race_categoryBlack or African American,0.09645298296628832,0.14131123096777753,0.6825570926367628,0.49488675474447613,1.1012578020513497,0.8348384635017955,1.4526986951366812,RRR
multinom_traj_cluster,2,race_categoryOther,0.8798809458880941,0.010655433932619168,82.57579667352076,0,2.4106126959789935,2.360789968353121,2.46148689545173,RRR
multinom_traj_cluster,2,race_categoryUnknown,1.9583165453560536,0.018387212959885792,106.50426193618291,0,7.087385724212999,6.836511643852478,7.347465933002094,RRR
multinom_traj_cluster,2,race_categoryWhite,0.6809749842465387,0.18474861558765876,3.685954463477062,2.278470920650508e-4,1.975803170407385,1.3755693218742484,2.8379508804927758,RRR
multinom_traj_cluster,2,admit_year,0.05804975071034662,4.1774339631596403e-4,138.9603072658512,0,1.0597677185955787,1.0589003602370954,1.0606357874180021,RRR
multinom_traj_cluster,2,charlson_score,-0.10054805364817868,0.045955003914088625,-2.187967470009359,0.02867197195024097,0.9043416544529256,0.8264466928008112,0.9895784387581399,RRR
multinom_traj_cluster,2,advanced_cancer_any_poaTRUE,-0.012794434726698825,0.2512056911361684,-0.050932105354904084,0.9593796223274366,0.9872870660973508,0.6034104768669788,1.6153775717387722,RRR
multinom_traj_cluster,3,(Intercept),-42.37872538214314,2.4522551224900196e-4,-172815.32004350258,0,3.9368912331457146e-19,3.934999452524892e-19,3.938783923254317e-19,RRR
multinom_traj_cluster,3,pm25_5y_z,0.13847157045218805,0.1497356458474629,0.9247735879354361,0.3550836920414253,1.1485170292862392,0.856406360384613,1.540263393149115,RRR
multinom_traj_cluster,3,no2_5y_z,0.16842057663981205,0.1379626273025661,1.220769565879958,0.22217327993631805,1.183434230788996,0.9030420380593014,1.5508874665601926,RRR
multinom_traj_cluster,3,age_years,0.019119390638422832,0.01523623776931951,1.254862973910964,0.20952850713039142,1.0193033366291655,0.9893138713332437,1.0502018845274803,RRR
multinom_traj_cluster,3,sex_categoryMale,0.4229584035891916,0.2816827464074699,1.5015417485931446,0.13321549699086468,1.526470798939402,0.878851111705333,2.651317235627452,RRR
multinom_traj_cluster,3,race_categoryBlack or African American,0.08235208146410075,0.13067440333737723,0.6302082072759334,0.5285583702341443,1.0858380459854746,0.8404903990706626,1.402805152103145,RRR
multinom_traj_cluster,3,race_categoryOther,-943.8552579823217,NA,NA,NA,0,NA,NA,RRR
multinom_traj_cluster,3,race_categoryUnknown,-797.3348937157541,NA,NA,NA,0,NA,NA,RRR
multinom_traj_cluster,3,race_categoryWhite,0.3766452176478609,0.14429632010181787,2.610220533566579,0.00904838699457927,1.4573871623938885,1.0983668889857703,1.9337594408656895,RRR
multinom_traj_cluster,3,admit_year,0.019945747464188198,5.542453796606077e-4,35.98721468170286,1.32583877268841e-283,1.020145993018392,1.0190383887758674,1.0212548011283782,RRR
multinom_traj_cluster,3,charlson_score,-0.07962083636674096,0.04748340612274523,-1.6768139202339454,0.09357887481603423,0.9234664248987787,0.8413998278987112,1.0135374522776726,RRR
multinom_traj_cluster,3,advanced_cancer_any_poaTRUE,-0.18671518271128196,0.06602452538378548,-2.8279670565740425,0.0046844626855157435,0.8296800099473458,0.728969597331757,0.9443040168284937,RRR
multinom_traj_cluster,4,(Intercept),-86.80676444639509,2.68594674655541e-4,-323188.7026714895,0,1.9966466280596134e-38,1.9955957789344313e-38,1.9976980305452984e-38,RRR
